Politikus,Partai
Prabowo Subianto,Partai Gerindra
Fadli Zon,Partai Gerindra
Suhardi,Partai Gerindra
Marzuki Alie,Partai Demokrat
Alex Noerdin,Partai Golongan Karya
Haeny Relawati Rini Widyastuti,Partai Golongan Karya
Ason Sukasa,Partai Golongan Karya
Syahrial Oesman,PDI Perjuangan
Hatta Rajasa,Partai Amanat Nasional
Agus Hamdani,Partai Persatuan Pembangunan
Diky Candra,Partai Golongan Karya
Aceng H.M. Fikri,Partai Golongan Karya
Dedi Supardi,PDI Perjuangan
Djamu Kertabudi,Partai Gerindra
Rieke Diah Pitaloka,PDI Perjuangan
Fauzi Bowo,Partai Demokrat
Imam Utomo,PDI Perjuangan
Soeharto,Partai Golongan Karya
Dede Yusuf,Partai Demokrat
Nu'man Abdul Hakim,Partai Persatuan Pembangunan
Syamsul Arifin,Partai Keadilan Sejahtera
Syamsul Arifin,Partai Golongan Karya
Rustriningsih,PDI Perjuangan
Cornelis,PDI Perjuangan
Zadrak Wamebu,Partai Golongan Karya
Soewardi,Partai Golongan Karya
Agus Masykur Rosyadi,Partai Keadilan Sejahtera
